Precision,Recall,K,Modality,Perturbation,Cell Line,Timepoint,Time
0.06854749191445116,0.09139344262295082,5,Eq_scores,CRISPR,U2OS,144,Long
0.051092068223215756,0.05122950819672131,1,CellProfiler,CRISPR,U2OS,144,Long
0.05543411332331691,0.04836065573770492,3,CellProfiler,CRISPR,U2OS,144,Long
0.03337419907357183,0.03934426229508197,5,CellProfiler,CRISPR,U2OS,144,Long
0.07005187890433792,0.06311475409836066,1,PCA,CRISPR,U2OS,144,Long
0.04941752830206144,0.047540983606557376,3,PCA,CRISPR,U2OS,144,Long
0.045854661969059685,0.054098360655737705,5,PCA,CRISPR,U2OS,144,Long
0.17904263314099378,0.16639344262295083,1,Eq_scores,CRISPR,U2OS,96,Short
0.14521942291749534,0.13688524590163934,3,Eq_scores,CRISPR,U2OS,96,Short
0.14322776877179105,0.13565573770491804,5,Eq_scores,CRISPR,U2OS,96,Short
0.10691451990632318,0.10204918032786885,1,CellProfiler,CRISPR,U2OS,96,Short
0.09200138457751511,0.08647540983606557,3,CellProfiler,CRISPR,U2OS,96,Short
0.08881586537324242,0.08483606557377049,5,CellProfiler,CRISPR,U2OS,96,Short
0.12633037727300023,0.11844262295081967,1,PCA,CRISPR,U2OS,96,Short
0.10529221956656865,0.1040983606557377,3,PCA,CRISPR,U2OS,96,Short
0.100851432666153,0.09262295081967213,5,PCA,CRISPR,U2OS,96,Short
0.10563896031109145,0.09818501170960187,1,Eq_scores,CRISPR,A549,144,Long
0.0685349877273696,0.07254098360655738,3,Eq_scores,CRISPR,A549,144,Long
0.06142508118011737,0.08243559718969555,5,Eq_scores,CRISPR,A549,144,Long
0.06052563101743429,0.048067915690866506,1,CellProfiler,CRISPR,A549,144,Long
0.03978824266914913,0.04057377049180328,3,CellProfiler,CRISPR,A549,144,Long
0.03764654863878333,0.04549180327868853,5,CellProfiler,CRISPR,A549,144,Long
0.06676034348165495,0.059953161592505855,1,PCA,CRISPR,A549,144,Long
0.04525394459820689,0.056557377049180325,3,PCA,CRISPR,A549,144,Long
0.03792597207879145,0.051639344262295085,5,PCA,CRISPR,A549,144,Long
0.11149539895441533,0.10491803278688525,1,Eq_scores,CRISPR,A549,96,Short
0.06363400608820088,0.075,3,Eq_scores,CRISPR,A549,96,Short
0.062084851435884936,0.07581967213114754,5,Eq_scores,CRISPR,A549,96,Short
0.0688886887247543,0.055327868852459015,1,CellProfiler,CRISPR,A549,96,Short
0.06077617717674738,0.05860655737704918,3,CellProfiler,CRISPR,A549,96,Short
0.04532608236079789,0.05122950819672131,5,CellProfiler,CRISPR,A549,96,Short
0.08500413975823812,0.07295081967213114,1,PCA,CRISPR,A549,96,Short
0.06119069990272014,0.06598360655737705,3,PCA,CRISPR,A549,96,Short
0.0509579179019112,0.06352459016393443,5,PCA,CRISPR,A549,96,Short
